NACA 0018
1.00000	0.00189
0.95000	0.01210
0.90000	0.02172
0.80000	0.03935
0.70000	0.05496
0.60000	0.06845
0.50000	0.07941
0.40000	0.08705
0.30000	0.09003
0.25000	0.08912
0.20000	0.08606
0.15000	0.08018
0.10000	0.07024
0.07500	0.06300
0.05000	0.05332
0.02500	0.03922
0.01250	0.02841
0.00000	0.00000
0.01250	-0.02841
0.02500	-0.03922
0.05000	-0.05332
0.07500	-0.06300
0.10000	-0.07024
0.15000	-0.08018
0.20000	-0.08606
0.25000	-0.08912
0.30000	-0.09003
0.40000	-0.08705
0.50000	-0.07941
0.60000	-0.06845
0.70000	-0.05496
0.80000	-0.03935
0.90000	-0.02172
0.95000	-0.01210
1.00000	-0.00189
